,date,avg_temp,daily_LW_hrs,Risk_x,Avg_rainfall,Risk_y,spray
1,2021-01-25,15.7975,0,Low,NA,NA,0
2,2021-01-26,12.386250000000002,2,Low,NA,NA,0
3,2021-01-27,11.767708333333337,0,Low,NA,NA,0
4,2021-01-28,13.056249999999999,0,Low,NA,NA,0
5,2021-01-29,11.803749999999999,3,Low,NA,NA,0
6,2021-01-30,12.098333333333334,0,Low,NA,NA,0
7,2021-01-31,13.884166666666667,0,Low,NA,NA,0
8,2021-02-01,15.496249999999996,0,Low,NA,NA,0
9,2021-02-02,16.718333333333337,0,Low,NA,NA,0
10,2021-02-03,17.591250000000002,0,Low,0.0,NA,0
11,2021-02-04,18.457500000000003,0,Low,NA,NA,0
12,2021-02-05,17.18541666666667,0,Low,NA,NA,0
13,2021-02-06,14.406250000000005,0,Low,NA,NA,0
14,2021-02-07,13.8425,3,Low,NA,NA,0
15,2021-02-08,14.674583333333333,1,Low,NA,NA,1
16,2021-02-09,16.65791666666667,1,Low,NA,NA,0
17,2021-02-10,18.034583333333334,0,Low,NA,NA,0
18,2021-02-11,18.38375,0,Low,NA,NA,0
19,2021-02-12,18.77958333333333,0,Low,NA,NA,0
20,2021-02-13,19.512083333333333,0,Low,0.0,NA,0
21,2021-02-14,19.883749999999996,0,Low,NA,NA,0
22,2021-02-15,19.755,0,Low,NA,NA,0
23,2021-02-16,19.524583333333336,3,Low,NA,NA,0
24,2021-02-17,19.075833333333335,6,Medium,NA,NA,0
25,2021-02-18,18.9475,5,Low,NA,NA,1
26,2021-02-19,18.58666666666667,8,Medium,NA,NA,0
27,2021-02-20,17.814583333333335,1,Low,NA,NA,0
28,2021-02-21,18.2075,2,Low,NA,NA,0
29,2021-02-22,19.334583333333335,4,Low,NA,NA,0
30,2021-02-23,20.3125,4,Low,0.0,NA,0
31,2021-02-24,21.469583333333333,3,Low,NA,NA,0
32,2021-02-25,22.077916666666667,4,Low,NA,NA,0
33,2021-02-26,21.68625,0,Low,NA,NA,0
34,2021-02-27,23.051666666666673,3,Low,NA,NA,0
35,2021-02-28,23.92625,0,Low,NA,NA,1
36,2021-03-01,22.731666666666666,0,Low,NA,NA,0
37,2021-03-02,20.704999999999995,0,Low,NA,NA,0
38,2021-03-03,21.205416666666665,0,Low,NA,NA,0
39,2021-03-04,21.927916666666665,0,Low,NA,NA,0
40,2021-03-05,21.694583333333338,0,Low,0.0,NA,0
41,2021-03-06,22.20125,0,Low,NA,NA,0
42,2021-03-07,23.462500000000006,0,Low,NA,NA,0
43,2021-03-08,23.971666666666668,0,Low,NA,NA,0
44,2021-03-09,23.23708333333334,0,Low,NA,NA,0
45,2021-03-10,23.610208333333333,1,Low,NA,NA,1
46,2021-03-11,24.74000000000001,0,Low,NA,NA,0
47,2021-03-12,24.989583333333332,2,Low,NA,NA,0
48,2021-03-13,23.02166666666666,3,Low,NA,NA,0
49,2021-03-14,23.464166666666667,0,Low,NA,NA,0
50,2021-03-15,24.74416666666666,0,Low,0.0,NA,0
51,2021-03-16,25.962499999999995,0,Low,NA,NA,0
52,2021-03-17,25.839166666666667,0,Low,NA,NA,0
53,2021-03-18,25.983749999999997,0,Low,NA,NA,0
54,2021-03-19,22.76291666666667,6,Medium,NA,NA,0
55,2021-03-20,23.59583333333333,1,Low,NA,NA,1
56,2021-03-21,24.989166666666662,0,Low,NA,NA,0
57,2021-03-22,25.815833333333327,0,Low,NA,NA,0
58,2021-03-23,24.260833333333327,2,Low,NA,NA,0
59,2021-03-24,23.847499999999997,0,Low,NA,NA,0
60,2021-03-25,23.494583333333335,0,Low,0.476,Low,0
61,2021-03-26,22.958333333333332,0,Low,NA,NA,0
62,2021-03-27,25.36458333333334,0,Low,NA,NA,0
63,2021-03-28,27.224166666666665,0,Low,NA,NA,0
64,2021-03-29,28.774583333333336,0,Low,NA,NA,0
65,2021-03-30,29.791666666666668,0,Low,NA,NA,1
66,2021-03-31,30.396666666666675,0,Low,NA,NA,0
67,2021-04-01,28.207499999999996,0,Low,NA,NA,0
68,2021-04-02,25.91666666666667,0,Low,NA,NA,0
69,2021-04-03,26.127499999999998,0,Low,NA,NA,0
70,2021-04-04,27.08708333333333,0,Low,0.0,NA,0
71,2021-04-05,29.289583333333336,0,Low,NA,NA,0
72,2021-04-06,31.03333333333333,0,Low,NA,NA,0
73,2021-04-07,30.816666666666663,0,Low,NA,NA,0
74,2021-04-08,28.242500000000007,0,Low,NA,NA,0
75,2021-04-09,28.01916666666666,0,Low,NA,NA,1
76,2021-04-10,28.74083333333333,0,Low,NA,NA,0
77,2021-04-11,29.05083333333334,0,Low,NA,NA,0
78,2021-04-12,29.047916666666666,0,Low,NA,NA,0
79,2021-04-13,29.50166666666667,0,Low,NA,NA,0
80,2021-04-14,29.808333333333334,0,Low,0.028000000000000004,NA,0
81,2021-04-15,27.840833333333336,0,Low,NA,NA,0
82,2021-04-16,29.477916666666673,0,Low,NA,NA,0
83,2021-04-17,30.299999999999997,0,Low,NA,NA,0
84,2021-04-18,29.208333333333332,0,Low,NA,NA,0
85,2021-04-19,30.08208333333334,0,Low,NA,NA,1
86,2021-04-20,31.282083333333333,0,Low,NA,NA,0
87,2021-04-21,29.78708333333333,0,Low,NA,NA,0
88,2021-04-22,27.70875,0,Low,NA,NA,0
89,2021-04-23,28.984583333333333,0,Low,NA,NA,0
